ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-11,56747187.95026756,46469014.13743017,65290434.01311247,56747187.95026756,56747187.95026756,-741402.3800987753,-741402.3800987753,-741402.3800987753,572021.3035158084,572021.3035158084,572021.3035158084,-1313423.683614584,-1313423.683614584,-1313423.683614584,0.0,0.0,0.0,56005785.570168786
2023-01-12,56745859.17070919,47013562.655490786,65289117.01592867,56745859.17070919,56745859.17070919,-539119.3604338982,-539119.3604338982,-539119.3604338982,423331.83240419324,423331.83240419324,423331.83240419324,-962451.1928380914,-962451.1928380914,-962451.1928380914,0.0,0.0,0.0,56206739.810275294
2023-01-13,56744530.39115082,47221723.32189395,65931189.912527144,56744530.39115082,56744530.39115082,74203.92150392126,74203.92150392126,74203.92150392126,666336.9238911779,666336.9238911779,666336.9238911779,-592133.0023872567,-592133.0023872567,-592133.0023872567,0.0,0.0,0.0,56818734.31265474
2023-01-14,56743201.61159245,47692240.2374127,66284565.2697606,56743201.61159245,56743201.61159245,46471.859537066484,46471.859537066484,46471.859537066484,257615.59947236106,257615.59947236106,257615.59947236106,-211143.73993529458,-211143.73993529458,-211143.73993529458,0.0,0.0,0.0,56789673.471129514
2023-01-15,56741872.83203408,48479244.62925207,65827196.93207668,56741872.83203408,56741872.83203408,197889.90681880977,197889.90681880977,197889.90681880977,26329.720472624063,26329.720472624063,26329.720472624063,171560.18634618568,171560.18634618568,171560.18634618568,0.0,0.0,0.0,56939762.73885289
2023-01-16,56740544.052475706,47308177.23177254,65469109.1094959,56740544.052475706,56740544.052475706,-539519.7661689736,-539519.7661689736,-539519.7661689736,-1086491.7805197535,-1086491.7805197535,-1086491.7805197535,546972.0143507799,546972.0143507799,546972.0143507799,0.0,0.0,0.0,56201024.28630673
2023-01-17,56739215.27291734,47443827.90044519,65719449.34479624,56739215.27291734,56739215.27291734,47123.90785167126,47123.90785167126,47123.90785167126,-859143.5992356233,-859143.5992356233,-859143.5992356233,906267.5070872946,906267.5070872946,906267.5070872946,0.0,0.0,0.0,56786339.18076901
2023-01-18,56737886.49335896,48877482.92366791,67949734.18637238,56737886.49335896,56737886.49335896,1813054.3722381133,1813054.3722381133,1813054.3722381133,572021.3035167343,572021.3035167343,572021.3035167343,1241033.068721379,1241033.068721379,1241033.068721379,0.0,0.0,0.0,58550940.86559708
2023-01-19,56736557.71380059,50474366.31006867,67983518.83510292,56736557.71380059,56736557.71380059,1966814.8450459999,1966814.8450459999,1966814.8450459999,423331.83240443293,423331.83240443293,423331.83240443293,1543483.012641567,1543483.012641567,1543483.012641567,0.0,0.0,0.0,58703372.558846585
2023-01-20,56735228.93424222,49860824.912234955,68391271.27145155,56735228.93424222,56735228.93424222,2472997.116703701,2472997.116703701,2472997.116703701,666336.9238910669,666336.9238910669,666336.9238910669,1806660.1928126344,1806660.1928126344,1806660.1928126344,0.0,0.0,0.0,59208226.05094592
2023-01-21,56733900.15468385,49742288.013855,68055920.82428522,56733900.15468385,56733900.15468385,2282230.2627874557,2282230.2627874557,2282230.2627874557,257615.5994735628,257615.5994735628,257615.5994735628,2024614.6633138927,2024614.6633138927,2024614.6633138927,0.0,0.0,0.0,59016130.417471305
2023-01-22,56732571.375125475,50125583.0058484,68957351.73776953,56732571.375125475,56732571.375125475,2218885.3498948542,2218885.3498948542,2218885.3498948542,26329.720471511475,26329.720471511475,26329.720471511475,2192555.6294233426,2192555.6294233426,2192555.6294233426,0.0,0.0,0.0,58951456.72502033
2023-01-23,56731242.59556711,48769509.14698256,67622137.18206535,56731242.59556711,56731242.59556711,1220480.8997832795,1220480.8997832795,1220480.8997832795,-1086491.7805179395,-1086491.7805179395,-1086491.7805179395,2306972.6803012188,2306972.6803012188,2306972.6803012188,0.0,0.0,0.0,57951723.49535038
2023-01-24,56729913.81600874,48387118.01968147,67642678.19534774,56729913.81600874,56729913.81600874,1506579.5289571027,1506579.5289571027,1506579.5289571027,-859143.5992335505,-859143.5992335505,-859143.5992335505,2365723.1281906534,2365723.1281906534,2365723.1281906534,0.0,0.0,0.0,58236493.344965845
2023-01-25,56728585.03794219,50625343.61040488,69358410.17788045,56728585.03794219,56728585.03794219,2940104.502503849,2940104.502503849,2940104.502503849,572021.3035164366,572021.3035164366,572021.3035164366,2368083.1989874127,2368083.1989874127,2368083.1989874127,0.0,0.0,0.0,59668689.54044604
2023-01-26,56727256.25987565,50150311.105714925,69180250.73582006,56727256.25987565,56727256.25987565,2738093.631011536,2738093.631011536,2738093.631011536,423331.83240414725,423331.83240414725,423331.83240414725,2314761.7986073885,2314761.7986073885,2314761.7986073885,0.0,0.0,0.0,59465349.890887186
2023-01-27,56725927.48180911,50282101.77184355,69883079.55245832,56725927.48180911,56725927.48180911,2874213.515740357,2874213.515740357,2874213.515740357,666336.9238914971,666336.9238914971,666336.9238914971,2207876.59184886,2207876.59184886,2207876.59184886,0.0,0.0,0.0,59600140.99754947
2023-01-28,56724598.70374256,50119369.27160016,68548535.33538318,56724598.70374256,56724598.70374256,2308508.746957685,2308508.746957685,2308508.746957685,257615.59947302137,257615.59947302137,257615.59947302137,2050893.1474846639,2050893.1474846639,2050893.1474846639,0.0,0.0,0.0,59033107.450700246
2023-01-29,56723269.925676025,49473285.54973673,67801103.62123957,56723269.925676025,56723269.925676025,1874858.6176684657,1874858.6176684657,1874858.6176684657,26329.720470399006,26329.720470399006,26329.720470399006,1848528.897198067,1848528.897198067,1848528.897198067,0.0,0.0,0.0,58598128.54334449
2023-01-30,56721941.14760948,48217074.06368473,66359948.56685129,56721941.14760948,56721941.14760948,520132.8189303609,520132.8189303609,520132.8189303609,-1086491.7805197297,-1086491.7805197297,-1086491.7805197297,1606624.5994500907,1606624.5994500907,1606624.5994500907,0.0,0.0,0.0,57242073.96653984
2023-01-31,56720612.36954294,47499988.653441,66547913.64212137,56720612.36954294,56720612.36954294,472843.26737225393,472843.26737225393,472843.26737225393,-859143.599233157,-859143.599233157,-859143.599233157,1331986.8666054108,1331986.8666054108,1331986.8666054108,0.0,0.0,0.0,57193455.63691519
2023-02-01,56719283.591476396,49684558.64544492,67376136.3002712,56719283.591476396,56719283.591476396,1604227.3845584034,1604227.3845584034,1604227.3845584034,572021.3035137976,572021.3035137976,572021.3035137976,1032206.0810446059,1032206.0810446059,1032206.0810446059,0.0,0.0,0.0,58323510.9760348
2023-02-02,56717954.81340985,48388661.87599731,67000105.515554,56717954.81340985,56717954.81340985,1138786.5051835598,1138786.5051835598,1138786.5051835598,423331.83240386157,423331.83240386157,423331.83240386157,715454.6727796982,715454.6727796982,715454.6727796982,0.0,0.0,0.0,57856741.31859341
2023-02-03,56716626.03534331,48767821.725021824,66884781.12474061,56716626.03534331,56716626.03534331,1056608.163666916,1056608.163666916,1056608.163666916,666336.9238911094,666336.9238911094,666336.9238911094,390271.23977580655,390271.23977580655,390271.23977580655,0.0,0.0,0.0,57773234.19901023
2023-02-04,56715297.257276766,47562627.13840932,66218502.407914355,56715297.257276766,56715297.257276766,322951.9487810517,322951.9487810517,322951.9487810517,257615.59947422298,257615.59947422298,257615.59947422298,65336.34930682869,65336.34930682869,65336.34930682869,0.0,0.0,0.0,57038249.20605782
2023-02-05,56713968.47921023,47492771.97517291,66970693.40855853,56713968.47921023,56713968.47921023,-224424.22453489076,-224424.22453489076,-224424.22453489076,26329.720470854776,26329.720470854776,26329.720470854776,-250753.94500574554,-250753.94500574554,-250753.94500574554,0.0,0.0,0.0,56489544.254675336
2023-02-06,56712639.70114368,45768242.270892404,63870672.68895068,56712639.70114368,56712639.70114368,-1636202.5857737581,-1636202.5857737581,-1636202.5857737581,-1086491.7805197178,-1086491.7805197178,-1086491.7805197178,-549710.8052540403,-549710.8052540403,-549710.8052540403,0.0,0.0,0.0,55076437.11536992
2023-02-07,56711310.92307714,45751514.6850295,64593250.845580846,56711310.92307714,56711310.92307714,-1682909.1996405346,-1682909.1996405346,-1682909.1996405346,-859143.5992353575,-859143.5992353575,-859143.5992353575,-823765.6004051771,-823765.6004051771,-823765.6004051771,0.0,0.0,0.0,55028401.7234366
2023-02-08,56709982.1450106,46561656.51334924,65551594.6861835,56709982.1450106,56709982.1450106,-493846.24968658324,-493846.24968658324,-493846.24968658324,572021.3035134999,572021.3035134999,572021.3035134999,-1065867.553200083,-1065867.553200083,-1065867.553200083,0.0,0.0,0.0,56216135.895324014
2023-02-09,56708653.36694405,46893327.4035932,64721173.42102875,56708653.36694405,56708653.36694405,-846529.0262167639,-846529.0262167639,-846529.0262167639,423331.8324035759,423331.8324035759,423331.8324035759,-1269860.8586203398,-1269860.8586203398,-1269860.8586203398,0.0,0.0,0.0,55862124.34072729
2023-02-10,56707324.588877514,46991851.325390086,65113966.602812715,56707324.588877514,56707324.588877514,-764299.7545261518,-764299.7545261518,-764299.7545261518,666336.9238912751,666336.9238912751,666336.9238912751,-1430636.6784174268,-1430636.6784174268,-1430636.6784174268,0.0,0.0,0.0,55943024.83435136
2023-02-11,56705995.81081097,46370577.43314963,64633026.39416183,56705995.81081097,56705995.81081097,-1286640.5279086458,-1286640.5279086458,-1286640.5279086458,257615.59947337682,257615.59947337682,257615.59947337682,-1544256.1273820226,-1544256.1273820226,-1544256.1273820226,0.0,0.0,0.0,55419355.28290232
2023-02-12,56704667.03274443,45883548.301831365,64662768.143377185,56704667.03274443,56704667.03274443,-1581711.4600568553,-1581711.4600568553,-1581711.4600568553,26329.720473903148,26329.720473903148,26329.720473903148,-1608041.1805307586,-1608041.1805307586,-1608041.1805307586,0.0,0.0,0.0,55122955.572687574
2023-02-13,56703338.254677884,44609465.33694969,62579720.76783543,56703338.254677884,56703338.254677884,-2707123.1037357827,-2707123.1037357827,-2707123.1037357827,-1086491.780519706,-1086491.780519706,-1086491.780519706,-1620631.323216076,-1620631.323216076,-1620631.323216076,0.0,0.0,0.0,53996215.1509421
2023-02-14,56702009.47661134,45262569.938753255,63219248.832262136,56702009.47661134,56702009.47661134,-2441148.312417855,-2441148.312417855,-2441148.312417855,-859143.5992383218,-859143.5992383218,-859143.5992383218,-1582004.7131795334,-1582004.7131795334,-1582004.7131795334,0.0,0.0,0.0,54260861.16419348
2023-02-15,56700680.6985448,46628093.47691743,65569631.04556717,56700680.6985448,56700680.6985448,-921442.2947900249,-921442.2947900249,-921442.2947900249,572021.3035156492,572021.3035156492,572021.3035156492,-1493463.598305674,-1493463.598305674,-1493463.598305674,0.0,0.0,0.0,55779238.40375478
2023-02-16,56699351.920478255,46972469.2836433,64579753.36981618,56699351.920478255,56699351.920478255,-934252.8767579262,-934252.8767579262,-934252.8767579262,423331.83240381564,423331.83240381564,423331.83240381564,-1357584.709161742,-1357584.709161742,-1357584.709161742,0.0,0.0,0.0,55765099.04372033
2023-02-17,56698023.14241172,46715456.631971605,65195793.67175901,56698023.14241172,56698023.14241172,-511799.3703806977,-511799.3703806977,-511799.3703806977,666336.9238911641,666336.9238911641,666336.9238911641,-1178136.294271862,-1178136.294271862,-1178136.294271862,0.0,0.0,0.0,56186223.77203102
2023-02-18,56696694.36954438,47165785.01040265,65156066.516735956,56696694.36954438,56696694.36954438,-702348.7629101215,-702348.7629101215,-702348.7629101215,257615.59947253068,257615.59947253068,257615.59947253068,-959964.362382652,-959964.362382652,-959964.362382652,0.0,0.0,0.0,55994345.60663426
2023-02-19,56695365.59667706,46408928.58671348,64905348.11785266,56695365.59667706,56695365.59667706,-682521.7946609594,-682521.7946609594,-682521.7946609594,26329.720474358986,26329.720474358986,26329.720474358986,-708851.5151353183,-708851.5151353183,-708851.5151353183,0.0,0.0,0.0,56012843.802016094
2023-02-20,56694036.82380973,46279894.3967822,64016578.7401656,56694036.82380973,56694036.82380973,-1517844.2538992185,-1517844.2538992185,-1517844.2538992185,-1086491.7805196939,-1086491.7805196939,-1086491.7805196939,-431352.47337952454,-431352.47337952454,-431352.47337952454,0.0,0.0,0.0,55176192.56991051
2023-02-21,56692708.0509424,46590561.66863986,63717484.5002483,56692708.0509424,56692708.0509424,-993754.6006486624,-993754.6006486624,-993754.6006486624,-859143.5992362492,-859143.5992362492,-859143.5992362492,-134611.00141241326,-134611.00141241326,-134611.00141241326,0.0,0.0,0.0,55698953.450293735
2023-02-22,56691379.27807507,48540041.37492669,67022077.41500957,56691379.27807507,56691379.27807507,745857.9036568322,745857.9036568322,745857.9036568322,572021.3035153515,572021.3035153515,572021.3035153515,173836.6001414806,173836.6001414806,173836.6001414806,0.0,0.0,0.0,57437237.1817319
2023-02-23,56690050.50520774,48023976.07637114,66664551.14104863,56690050.50520774,56690050.50520774,909597.774787842,909597.774787842,909597.774787842,423331.83240444463,423331.83240444463,423331.83240444463,486265.94238339737,486265.94238339737,486265.94238339737,0.0,0.0,0.0,57599648.27999558
2023-02-24,56688721.73234041,48656041.58417543,67347555.34025936,56688721.73234041,56688721.73234041,1461308.2055325778,1461308.2055325778,1461308.2055325778,666336.9238913174,666336.9238913174,666336.9238913174,794971.2816412604,794971.2816412604,794971.2816412604,0.0,0.0,0.0,58150029.93787299
2023-02-25,56687392.95947308,49116939.85659835,67408579.54270035,56687392.95947308,56687392.95947308,1350084.4753597092,1350084.4753597092,1350084.4753597092,257615.59947373235,257615.59947373235,257615.59947373235,1092468.875885977,1092468.875885977,1092468.875885977,0.0,0.0,0.0,58037477.43483279
2023-02-26,56686064.18660575,49217846.355131745,67380729.08045281,56686064.18660575,56686064.18660575,1398021.1722429558,1398021.1722429558,1398021.1722429558,26329.720471678145,26329.720471678145,26329.720471678145,1371691.4517712777,1371691.4517712777,1371691.4517712777,0.0,0.0,0.0,58084085.358848706
2023-02-27,56684735.41373843,48235199.40955837,66463790.91608242,56684735.41373843,56684735.41373843,539676.7914461493,539676.7914461493,539676.7914461493,-1086491.7805214843,-1086491.7805214843,-1086491.7805214843,1626168.5719676337,1626168.5719676337,1626168.5719676337,0.0,0.0,0.0,57224412.20518458
2023-02-28,56683406.64087109,48865656.94630401,66839531.367308944,56683406.64087109,56683406.64087109,991044.537447146,991044.537447146,991044.537447146,-859143.599240129,-859143.599240129,-859143.599240129,1850188.136687275,1850188.136687275,1850188.136687275,0.0,0.0,0.0,57674451.17831824
2023-03-01,56682077.86800377,50468040.54451061,69037561.05580606,56682077.86800377,56682077.86800377,2610956.1297989115,2610956.1297989115,2610956.1297989115,572021.3035150542,572021.3035150542,572021.3035150542,2038934.8262838575,2038934.8262838575,2038934.8262838575,0.0,0.0,0.0,59293033.99780268
2023-03-02,56680749.095136434,49253282.3678956,68276117.26552199,56680749.095136434,56680749.095136434,2611933.808806892,2611933.808806892,2611933.808806892,423331.8324046843,423331.8324046843,423331.8324046843,2188601.9764022077,2188601.9764022077,2188601.9764022077,0.0,0.0,0.0,59292682.90394332
2023-03-03,56679420.32226911,50178284.5697084,68979694.35800959,56679420.32226911,56679420.32226911,2962811.077331216,2962811.077331216,2962811.077331216,666336.9238912065,666336.9238912065,666336.9238912065,2296474.15344001,2296474.15344001,2296474.15344001,0.0,0.0,0.0,59642231.39960033
2023-03-04,56678091.54940178,50167472.3957623,68616182.5007729,56678091.54940178,56678091.54940178,2618594.142866202,2618594.142866202,2618594.142866202,257615.59947288613,257615.59947288613,257615.59947288613,2360978.5433933157,2360978.5433933157,2360978.5433933157,0.0,0.0,0.0,59296685.692267984
2023-03-05,56676762.77653445,49612992.8099259,68351931.30001065,56676762.77653445,56676762.77653445,2408033.877758691,2408033.877758691,2408033.877758691,26329.72047213393,26329.72047213393,26329.72047213393,2381704.157286557,2381704.157286557,2381704.157286557,0.0,0.0,0.0,59084796.65429314
2023-03-06,56675434.00366712,48331832.4860186,66978112.44834675,56675434.00366712,56675434.00366712,1272896.9853908014,1272896.9853908014,1272896.9853908014,-1086491.7805192785,-1086491.7805192785,-1086491.7805192785,2359388.7659100797,2359388.7659100797,2359388.7659100797,0.0,0.0,0.0,57948330.98905793
2023-03-07,56674105.230799794,49113323.39015338,67985301.54584415,56674105.230799794,56674105.230799794,1436730.7804550638,1436730.7804550638,1436730.7804550638,-859143.5992380559,-859143.5992380559,-859143.5992380559,2295874.37969312,2295874.37969312,2295874.37969312,0.0,0.0,0.0,58110836.011254855
2023-03-08,56672776.457932465,50263946.1328619,68501745.10488863,56672776.457932465,56672776.457932465,2766054.2644123444,2766054.2644123444,2766054.2644123444,572021.3035172032,572021.3035172032,572021.3035172032,2194032.960895141,2194032.960895141,2194032.960895141,0.0,0.0,0.0,59438830.72234481
2023-03-09,56671447.68506514,50549458.532866925,68451010.64007208,56671447.68506514,56671447.68506514,2480996.702930955,2480996.702930955,2480996.702930955,423331.83240387327,423331.83240387327,423331.83240387327,2057664.8705270821,2057664.8705270821,2057664.8705270821,0.0,0.0,0.0,59152444.3879961
2023-03-10,56670118.912197806,49742727.79859862,68575229.60048175,56670118.912197806,56670118.912197806,2557710.212885554,2557710.212885554,2557710.212885554,666336.9238910956,666336.9238910956,666336.9238910956,1891373.2889944587,1891373.2889944587,1891373.2889944587,0.0,0.0,0.0,59227829.12508336
2023-03-11,56668790.139330484,49835993.54368486,68061642.28647126,56668790.139330484,56668790.139330484,1958034.0866741475,1958034.0866741475,1958034.0866741475,257615.5994733687,257615.5994733687,257615.5994733687,1700418.4872007791,1700418.4872007791,1700418.4872007791,0.0,0.0,0.0,58626824.22600463
2023-03-12,56667461.36646315,48239721.35652478,67411542.78822136,56667461.36646315,56667461.36646315,1516886.0670850393,1516886.0670850393,1516886.0670850393,26329.72047258975,26329.72047258975,26329.72047258975,1490556.3466124493,1490556.3466124493,1490556.3466124493,0.0,0.0,0.0,58184347.43354819
2023-03-13,56666148.38016088,48599219.79552513,66878329.92156021,56666148.38016088,56666148.38016088,181374.13817635752,181374.13817635752,181374.13817635752,-1086491.7805192666,-1086491.7805192666,-1086491.7805192666,1267865.9186956242,1267865.9186956242,1267865.9186956242,0.0,0.0,0.0,56847522.51833724
2023-03-14,56664835.39385861,47005463.07442523,65554523.580865756,56664835.39385861,56664835.39385861,179427.46704778477,179427.46704778477,179427.46704778477,-859143.5992376623,-859143.5992376623,-859143.5992376623,1038571.066285447,1038571.066285447,1038571.066285447,0.0,0.0,0.0,56844262.8609064
2023-03-15,56663522.40755633,48746362.54479607,67544738.52513757,56663522.40755633,56663522.40755633,1380882.6393991525,1380882.6393991525,1380882.6393991525,572021.3035169056,572021.3035169056,572021.3035169056,808861.3358822468,808861.3358822468,808861.3358822468,0.0,0.0,0.0,58044405.04695549
2023-03-16,56662209.42125406,49051128.23240302,67162027.96740028,56662209.42125406,56662209.42125406,1008049.0011575127,1008049.0011575127,1008049.0011575127,423331.8324041129,423331.8324041129,423331.8324041129,584717.1687533997,584717.1687533997,584717.1687533997,0.0,0.0,0.0,57670258.422411576
2023-03-17,56660896.43495179,48799143.86511446,67035646.83152393,56660896.43495179,56660896.43495179,1038081.2965918953,1038081.2965918953,1038081.2965918953,666336.9238909845,666336.9238909845,666336.9238909845,371744.3727009108,371744.3727009108,371744.3727009108,0.0,0.0,0.0,57698977.73154368
2023-03-18,56659583.44864952,47713988.6348087,66180896.479066394,56659583.44864952,56659583.44864952,432638.05128818186,432638.05128818186,432638.05128818186,257615.59947252256,257615.59947252256,257615.59947252256,175022.45181565933,175022.45181565933,175022.45181565933,0.0,0.0,0.0,57092221.4999377
2023-03-19,56658270.46234724,47489629.0646352,65546090.214609176,56658270.46234724,56658270.46234724,25300.659611627023,25300.659611627023,25300.659611627023,26329.720469908927,26329.720469908927,26329.720469908927,-1029.0608582819016,-1029.0608582819016,-1029.0608582819016,0.0,0.0,0.0,56683571.12195887
2023-03-20,56656957.476044975,45662002.233818606,64717339.08254264,56656957.476044975,56656957.476044975,-1239254.4696689923,-1239254.4696689923,-1239254.4696689923,-1086491.7805174526,-1086491.7805174526,-1086491.7805174526,-152762.6891515398,-152762.6891515398,-152762.6891515398,0.0,0.0,0.0,55417703.00637598
2023-03-21,56655644.4897427,45687497.96775994,64527337.69013809,56655644.4897427,56655644.4897427,-1136534.2017139317,-1136534.2017139317,-1136534.2017139317,-859143.5992372686,-859143.5992372686,-859143.5992372686,-277390.6024766632,-277390.6024766632,-277390.6024766632,0.0,0.0,0.0,55519110.28802876
2023-03-22,56654331.503440425,48074414.384479664,65550991.013618454,56654331.503440425,56654331.503440425,198975.77191685373,198975.77191685373,198975.77191685373,572021.3035142663,572021.3035142663,572021.3035142663,-373045.53159741254,-373045.53159741254,-373045.53159741254,0.0,0.0,0.0,56853307.275357276
2023-03-23,56653018.517138146,47659136.03939555,65553400.94573137,56653018.517138146,56653018.517138146,-15481.798036830789,-15481.798036830789,-15481.798036830789,423331.83240435267,423331.83240435267,423331.83240435267,-438813.63044118346,-438813.63044118346,-438813.63044118346,0.0,0.0,0.0,56637536.71910132
2023-03-24,56651705.53083588,47771155.594781615,66008570.97018874,56651705.53083588,56651705.53083588,191598.19452558915,191598.19452558915,191598.19452558915,666336.9238911503,666336.9238911503,666336.9238911503,-474738.7293655611,-474738.7293655611,-474738.7293655611,0.0,0.0,0.0,56843303.725361474
2023-03-25,56650392.5445336,47068873.086240105,65588509.24502019,56650392.5445336,56650392.5445336,-224182.65991096775,-224182.65991096775,-224182.65991096775,257615.5994727003,257615.5994727003,257615.5994727003,-481798.259383668,-481798.259383668,-481798.259383668,0.0,0.0,0.0,56426209.88462263
2023-03-26,56649079.55823133,46569674.84644449,65689482.870208934,56649079.55823133,56649079.55823133,-435522.224096957,-435522.224096957,-435522.224096957,26329.720470364642,26329.720470364642,26329.720470364642,-461851.94456732174,-461851.94456732174,-461851.94456732174,0.0,0.0,0.0,56213557.33413438
2023-03-27,56647766.57192907,45206903.535508625,63911894.520355366,56647766.57192907,56647766.57192907,-1504056.918293047,-1504056.918293047,-1504056.918293047,-1086491.7805170491,-1086491.7805170491,-1086491.7805170491,-417565.13777599775,-417565.13777599775,-417565.13777599775,0.0,0.0,0.0,55143709.65363602
2023-03-28,56646453.58562679,45596211.32081749,64985820.7213974,56646453.58562679,56646453.58562679,-1211452.9901824112,-1211452.9901824112,-1211452.9901824112,-859143.599236875,-859143.599236875,-859143.599236875,-352309.3909455362,-352309.3909455362,-352309.3909455362,0.0,0.0,0.0,55435000.595444374
2023-03-29,56645140.59932451,47531427.1755183,65614462.858445294,56645140.59932451,56645140.59932451,301977.81819458347,301977.81819458347,301977.81819458347,572021.3035139686,572021.3035139686,572021.3035139686,-270043.48531938525,-270043.48531938525,-270043.48531938525,0.0,0.0,0.0,56947118.41751909
2023-03-30,56643827.61302224,47658843.49017767,65597844.9243257,56643827.61302224,56643827.61302224,248153.15079740586,248153.15079740586,248153.15079740586,423331.8324044563,423331.8324044563,423331.8324044563,-175178.68160705044,-175178.68160705044,-175178.68160705044,0.0,0.0,0.0,56891980.76381964
2023-03-31,56642514.626719974,48157121.889899135,67230759.83880077,56642514.626719974,56642514.626719974,593904.5533962315,593904.5533962315,593904.5533962315,666336.9238907626,666336.9238907626,666336.9238907626,-72432.37049453113,-72432.37049453113,-72432.37049453113,0.0,0.0,0.0,57236419.18011621
2023-04-01,56641201.640417695,47667949.38296256,66210676.662284404,56641201.640417695,56641201.640417695,290941.0003687556,290941.0003687556,290941.0003687556,257615.599472878,257615.599472878,257615.599472878,33325.40089587758,33325.40089587758,33325.40089587758,0.0,0.0,0.0,56932142.640786454
2023-04-02,56639888.65411542,48306391.47033855,66209413.94474146,56639888.65411542,56639888.65411542,163557.60916934902,163557.60916934902,163557.60916934902,26329.720473413083,26329.720473413083,26329.720473413083,137227.88869593592,137227.88869593592,137227.88869593592,0.0,0.0,0.0,56803446.26328477
2023-04-03,56638575.667813145,47101736.943320185,65050772.98226994,56638575.667813145,56638575.667813145,-851926.3462163842,-851926.3462163842,-851926.3462163842,-1086491.780517037,-1086491.780517037,-1086491.780517037,234565.434300653,234565.434300653,234565.434300653,0.0,0.0,0.0,55786649.321596764
2023-04-04,56637262.68151088,46350842.74107985,65011830.7222136,56637262.68151088,56637262.68151088,-538211.0842668406,-538211.0842668406,-538211.0842668406,-859143.5992348021,-859143.5992348021,-859143.5992348021,320932.5149679615,320932.5149679615,320932.5149679615,0.0,0.0,0.0,56099051.59724404
